Data;DventoSI;DventoSG;Precipitacao;velocidadedovento;Njus;Nsv;Nsi;Nmon
01/08/2021;120,58;202,12;0;2,066667;1,2033;1,55;1,2229;1,4263
02/08/2021;221,67;207,88;0;2,766667;0,7268;1,5;1,2469;0,8514
03/08/2021;180,5;160,59;0;0,966667;0,4743;1,56;1,2014;0,6929
04/08/2021;83,91;167,86;0;1,266667;0,7343;1,59;1,1625;0,8754
05/08/2021;53,76;183,94;0,8;3,166667;0,7097;1,61;1,1064;0,9235
06/08/2021;174,09;230,63;0,3;2,633333;0,5953;1,64;1,0795;0,7883
07/08/2021;146,55;127,32;0;1,866667;0,5867;1,6;1,0759;0,7817
08/08/2021;115,31;119,23;0;1,633333;0,796;1,55;1,0976;0,9462
09/08/2021;286,47;272,17;0,3;3;0,6289;1,35;1,2048;0,7885
10/08/2021;232,3;217,57;13,4;3,3;0,5562;1,33;1,3552;0,7073
11/08/2021;219,54;228,62;0,6;3,3;0,6099;1,43;1,2753;0,726
12/08/2021;278,67;263,61;0;1,733333;0,5791;1,52;1,1538;0,7184
13/08/2021;32,05;135,85;0;2,166667;0,633;1,52;1,1306;0,7487
14/08/2021;137,39;174,07;0;2,033333;0,7806;1,56;1,0916;0,916
15/08/2021;36,53;87,2;0;1,633333;0,7159;1,51;1,1376;0,837
16/08/2021;73,18;123,05;0;1,5;0,5772;1,55;1,0606;0,7535
17/08/2021;84,57;55,18;0;1,566667;0,6037;1,55;1,1005;0,7849
18/08/2021;53,27;108,97;15,8;4,766667;0,6793;1,58;1,017;0,8446
19/08/2021;64,38;175,41;3,9;3,033333;0,5714;1,55;1,0437;0,7104
20/08/2021;92,5;76,29;3,9;1,966667;0,4572;1,46;1,214;0,6146
21/08/2021;94,4;59,09;1,1;2,4;0,5921;1,56;1,0896;0,8134
22/08/2021;153,75;146,38;3,1;3,033333;0,7035;1,63;1,0677;0,8061
23/08/2021;119,41;100,17;5,2;2,033333;0,6778;1,51;1,1538;0,8031
24/08/2021;84,33;50,86;39,7;4,3;0,7913;1,52;1,1659;0,9199
25/08/2021;54,63;19,58;19,6;3,533333;0,7413;1,31;1,4176;0,846
26/08/2021;97,17;193,25;28;2,433333;0,9723;1,44;1,4032;1,0822
27/08/2021;84;124,64;0,2;1,566667;1,1539;1,6;1,239;1,326
28/08/2021;169,06;157,01;0;2,766667;0,6975;1,64;1,1936;0,8166
29/08/2021;149,4;139,71;0;3,066667;0,4851;1,64;1,1474;0,6811
30/08/2021;68,75;96,01;0;3,7;0,47;1,65;1,114;0,6789
31/08/2021;54,55;152,24;0;3,633333;0,6526;1,71;1,0667;0,8018
01/09/2021;116,53;206,21;0;2,133333;0,6234;1,63;1,1452;0,8559
02/09/2021;176,5;173,31;0;1,566667;0,5164;1,5;1,2191;0,704
03/09/2021;87,25;111,27;6,1;3,4;0,57;1,44;1,3599;0,7588
04/09/2021;53,84;137,23;0;2,633333;0,5833;1,59;1,1911;0,7637
05/09/2021;52,21;33,38;2,7;2,1;0,5459;1,6;1,1792;0,6406
06/09/2021;82,46;112,09;0,8;4,7;0,4207;1,64;1,1203;0,6445
07/09/2021;61,21;55,18;0;6,033333;0,5239;1,9;0,8983;0,7369
08/09/2021;172,42;144,25;61,2;4,866667;0,4668;2,08;0,7214;0,6453
09/09/2021;167,91;145,15;2,3;3,2;0,5166;1,8;1,2071;0,6758
10/09/2021;194,97;189,93;0;null;0,5234;1,63;1,4494;0,7032
11/09/2021;189,04;207,92;0;2,033333;0,3662;1,66;1,47;0,5872
12/09/2021;249,7;225,21;0;4,566667;0,556;1,95;1,1752;0,7605
13/09/2021;87,07;155,93;15,8;2,433333;0,4789;2,05;1,3729;0,6718
14/09/2021;189,2;207,49;46,7;3,1;0,456;1,86;1,7353;0,6474
15/09/2021;69,56;87,59;0,2;2,633333;0,4737;2,04;1,8472;0,6054
16/09/2021;166,3;150,84;0;null;0,495;2,21;1,8391;0,4761
17/09/2021;205,38;192,85;0;3,733333;0,4035;2,37;1,7854;0,6351
18/09/2021;60,86;80,32;1,7;1,866667;0,4415;2,32;1,9119;0,6711
19/09/2021;74,89;83,73;1,4;3,533333;0,5269;2,4;1,9086;0,8302
20/09/2021;39,4;148,62;40;2,633333;0,563;2,44;1,9329;0,7696
21/09/2021;119,19;146,43;37,6;4,566667;0,6777;2,11;2,4055;0,8567
22/09/2021;93,22;151,34;0;4,666667;0,6582;2,49;2,0991;0,8873
23/09/2021;175,5;249,92;0;4,2;0,947;2,59;2,0412;0,9203
24/09/2021;181,16;155,89;0;4,466667;1,1895;2,41;2,2504;1,1196
25/09/2021;79,02;108,93;1,7;2,9;1,3068;2,47;2,2279;1,3945
26/09/2021;106,83;94,53;0,6;2,266667;1,0643;2,54;2,1273;1,2189
27/09/2021;52,47;75,46;0;1,666667;;2,53;2,1187;0,9789
28/09/2021;126,83;189,8;0;3,3;;2,44;2,1599;1,0096
29/09/2021;149,61;171,09;0,8;3,466667;;2,53;2,0817;0,6177
30/09/2021;115,51;143,11;0;6,233333;0,494;2,81;1,6803;0,6104
01/10/2021;108;146,43;26,6;4,366667;0,3732;2,43;2,142;0,4596
02/10/2021;128,54;186,18;0;2,366667;0,3344;2,51;2,083;0,5853
03/10/2021;164,41;144,34;0;2,966667;0,3679;2,41;2,1331;0,651
04/10/2021;129,52;116,16;0;3,266667;0,3487;2,39;2,1754;0,6254
05/10/2021;113,61;108,88;0;2,133333;0,5055;2,52;2,002;0,7489
06/10/2021;55,2;96,53;0;3,9;0,4265;2,37;2,0793;0,6508
