Data;Evaporacao;Insolocao totalh;Precipitação Taotalmm;Temperatura MaximaC;Temperatura MediaC;Temperatura minimaC;Umidade do relativa do ar;Velocidade media vento;NivelJusEclusa;NivelStaIzabel;NivelStaVitoria;NivelMonEclusa
17/8/1979;null;0;0,3;18,3;15,78;13;95;null;0,92;1,15;1,06;0,94
18/8/1979;1;0;0,1;17;15,92;15,4;98,75;2,966667;0,84;1,26;1,00;0,9
19/8/1979;null;0,6;0;17;14,08;13;92;null;0,78;1,25;0,99;0,85
20/8/1979;null;6,4;0;20;14,92;12,8;87,25;null;0,83;1,15;1,10;0,86
21/8/1979;2,2;9,4;0;23,5;17,1;12,8;83,25;4,666667;0,77;0,99;1,38;0,8
22/8/1979;null;7;0;26,2;17,4;10,4;80,25;null;0,72;1,18;1,07;0,81
23/8/1979;null;2,1;0;17,8;14,76;11,6;87;null;0,75;1,17;1,02;0,79
24/8/1979;1,4;6,9;0;21,2;16,96;12,6;89,75;5,233333;0,77;1,01;1,16;0,81
25/8/1979;2,6;0;0,8;20,5;17,02;15;89,5;2,766667;0,68;1,10;1,03;0,78
26/8/1979;1,5;4,9;25,4;19;12,32;10;80,25;3,666667;0,64;1,38;0,83;0,8
27/8/1979;null;8,5;0,3;17,5;12,38;5,5;76,75;null;0,82;1,03;1,14;0,86
28/8/1979;null;0,9;0;16,7;13,24;10,8;73,25;null;0,72;1,19;1,16;0,9
29/8/1979;null;10,4;0;15,5;10,28;6,5;61;null;0,67;1,38;0,89;0,82
30/8/1979;null;1,2;0;15,5;10,74;4,4;77,75;null;0,84;1,08;1,09;0,88
31/8/1979;null;0;1;18,2;13,92;11,6;93,5;null;0,68;1,14;1,02;0,76
1/9/1979;null;null;null;null;null;null;null;null;0,59;1,20;0,95;0,74
2/9/1979;null;null;null;null;null;null;null;null;0,72;1,16;0,96;0,79
3/9/1979;null;null;null;null;null;null;null;null;0,70;1,10;1,03;0,76
4/9/1979;null;null;null;null;null;null;null;null;0,71;1,30;0,79;0,86
5/9/1979;3,5;8,8;0;16;null;6;null;null;0,68;1,11;0,94;0,75
6/9/1979;null;null;null;null;null;null;null;null;0,72;0,95;1,05;0,75
7/9/1979;4,6;7,9;0;20,6;12,64;6;87;1,033333;0,70;1,12;0,90;0,77
8/9/1979;null;null;null;null;null;null;null;null;0,86;0,79;1,08;0,81
9/9/1979;null;null;null;null;null;null;null;null;0,83;0,69;1,26;0,78
10/9/1979;null;null;null;null;null;null;null;null;0,86;0,48;1,45;0,47
11/9/1979;3,4;4,8;0;23,5;18,36;16,5;90;3;0,58;1,06;1,05;0,99
12/9/1979;null;null;null;null;null;null;null;null;0,51;1,15;0,95;1,16
13/9/1979;null;null;null;null;null;null;null;null;0,50;1,31;0,88;1
14/9/1979;1,4;10,1;32,8;16;null;8,6;null;null;0,55;1,51;0,72;1
15/9/1979;null;null;null;null;null;null;null;null;0,56;1,14;0,99;0,94
16/9/1979;1,8;10;0;17,6;12,12;8,8;42,75;4,733333;0,50;1,26;0,91;0,91
17/9/1979;null;null;null;null;null;null;null;null;0,58;1,29;0,75;0,89
18/9/1979;null;null;null;null;null;null;null;null;0,46;1,34;0,72;0,96
19/9/1979;null;null;null;null;null;null;null;null;0,37;1,12;0,76;0,82
20/9/1979;null;null;null;null;null;null;null;null;0,39;0,96;1,05;0,79
21/9/1979;null;null;null;null;null;null;null;null;0,41;1,11;0,95;1,08
22/9/1979;null;null;null;null;null;null;null;null;0,48;1,09;0,92;1,1
23/9/1979;null;null;null;null;null;null;null;null;0,49;1,09;0,97;1,09
24/9/1979;null;null;null;null;null;null;null;null;0,44;1,10;0,97;1,04
25/9/1979;null;null;null;null;null;null;null;null;0,61;1,17;0,89;1,06
26/9/1979;null;null;null;null;null;null;null;null;0,63;0,96;1,14;0,95
27/9/1979;null;null;null;null;null;null;null;null;0,57;1,37;0,66;0,96
28/9/1979;null;null;null;null;null;null;null;null;0,84;1,36;0,72;1,11
29/9/1979;null;null;null;null;null;null;null;null;0,88;1,48;0,95;1,2
30/9/1979;null;null;null;null;null;null;null;null;1,25;1,84;1,23;1,52
1/10/1979;0,5;2,8;1,6;19,5;16,72;14,2;84,75;3,533333;1,53;1,86;1,50;1,76
2/10/1979;2,7;0,1;0;19;16,76;14,5;86,75;6,666667;1,40;1,90;1,61;1,64
3/10/1979;5,1;0;3;18,4;17,42;15,4;95,75;5,633333;1,29;1,77;1,80;1,39
4/10/1979;null;0;1,5;22,5;19,7;17,4;90;null;1,09;1,98;1,95;1,23
5/10/1979;null;0,2;0,8;24;20,44;18;90,25;null;1,01;2,04;1,91;1,16
6/10/1979;null;0;0;null;17,18;16;96;null;1,04;2,12;1,86;1,17
7/10/1979;0,4;0,4;7;17,3;14,84;13,8;93;3,366667;1,08;2,18;1,93;1,23
8/10/1979;null;8,9;2,2;24;16,6;12;75;null;1,02;2,11;2,06;1,16
9/10/1979;null;9,6;0;null;14,34;12,6;74;null;1,06;2,19;1,99;1,19
10/10/1979;null;10,1;0;20,5;16,26;10,2;74,25;null;1,14;2,08;2,13;1,24
11/10/1979;5,9;4,5;0;21,6;18,36;16,6;75,75;8,666667;1,20;1,90;2,22;1,29
12/10/1979;7,2;0,4;0;20;18,52;16,6;88;7,666667;1,20;1,89;2,20;1,3
13/10/1979;3,3;0;0,6;22,5;19,78;18;91,25;3,966667;1,21;2,01;2,15;1,3
14/10/1979;null;1,8;0,8;21;17,66;16,5;92,75;null;1,12;2,13;2,05;1,21
15/10/1979;2,7;4,2;0;20,5;15,64;13,5;78,75;9,333333;0,94;2,52;1,58;1,06
16/10/1979;null;11,8;5,6;20,8;15,76;12;76,75;null;0,96;2,28;1,89;1,07
17/10/1979;null;11,7;0;27,5;18,96;9,5;59;null;1,05;2,11;2,03;1,15
18/10/1979;null;10,2;0;null;14;12;69,75;null;1,05;2,29;1,69;1,17
19/10/1979;4,3;8,9;0;18,5;15,7;12;71;4,5;1,15;2,04;1,97;1,24
20/10/1979;null;5,7;0;20,5;18,12;14,6;72,5;null;1,32;1,73;2,20;1,34
21/10/1979;6;5,2;0;28;20,9;16,5;84,5;4,233333;1,24;1,90;2,14;1,3
22/10/1979;null;0;6,2;null;18,16;17;96;null;1,10;2,06;2,01;1,19
23/10/1979;null;null;31,2;21,4;17,28;14,6;55,25;null;1,03;2,13;1,97;1,13
24/10/1979;null;1,7;0;21;18,22;13,5;87;null;1,10;1,93;2,15;1,2
25/10/1979;null;4,4;0;24,6;18,98;13,8;88,75;null;1,02;2,13;1,98;1,12
26/10/1979;2,5;7,9;0;25;19,78;17;80;2,833333;1,04;2,12;2,05;1,14
27/10/1979;3;8,8;0;26,5;21,18;16;82,5;3,966667;1,04;1,96;2,13;1,12
28/10/1979;null;0,2;0;22,4;19,82;18,7;94,5;null;1,07;2,07;1,88;1,15
